driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,2022-10-29,3.889,0.852,0.015,6049,True,2022-10-29 00:00:00,2026-03-10 17:51:33.785364
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,2019-03-22,3.579,0.853,0.038,9102,True,2019-03-22 00:00:00,2026-03-10 17:51:33.785364
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2020-02-14,5.0,0.937,0.012,22075,True,2020-02-14 00:00:00,2026-03-10 17:51:33.785364
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,2019-07-14,3.635,0.858,0.061,15477,True,2019-07-14 00:00:00,2026-03-10 17:51:33.785364
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,2023-11-09,4.532,0.892,0.046,8872,True,2023-11-09 00:00:00,2026-03-10 17:51:33.785364
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,2024-03-29,3.75,0.762,0.012,5513,True,2024-03-29 00:00:00,2026-03-10 17:51:33.785364
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,2023-08-17,3.695,0.751,0.017,5685,True,2023-08-17 00:00:00,2026-03-10 17:51:33.785364
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,2019-06-01,4.508,0.855,0.006,24866,True,2019-06-01 00:00:00,2026-03-10 17:51:33.785364
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,2019-09-18,4.347,0.848,0.038,11548,True,2019-09-18 00:00:00,2026-03-10 17:51:33.785364
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,2020-01-05,4.645,0.834,0.072,10070,True,2020-01-05 00:00:00,2026-03-10 17:51:33.786365
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,2025-08-11,3.835,0.763,0.019,1437,True,2025-08-11 00:00:00,2026-03-10 17:51:33.786365
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,2025-10-17,3.72,0.906,0.069,1040,True,2025-10-17 00:00:00,2026-03-10 17:51:33.786365
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,2021-08-22,4.184,0.723,0.03,17755,True,2021-08-22 00:00:00,2026-03-10 17:51:33.786365
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,2024-09-04,3.688,0.93,0.033,4033,True,2024-09-04 00:00:00,2026-03-10 17:51:33.786365
15,Hassan Mostafa,01552869025,328789344492893,9,morning,car,2020-06-16,4.494,0.875,0.062,17623,True,2020-06-16 00:00:00,2026-03-10 17:51:33.786365
